english,chinese,symbol,phrase,similar
brave,勇敢的,,,
bread,面包,,,
break,打破，打断，短暂休息,,take a break: 休息一下,
breakfast,早餐,,,
bridge,桥,,,
bright,明亮的，光明的,,,
bring,带来,,,
broom,扫帚,,,
brush,刷，刷子,,,
build,建造,,,
burn,燃烧,,,
bus,公共汽车,,,
businessman,商人,,,
busy,忙碌的,,,
but,但是,,,
buy,买,,,
by,乘，骑,,,
cage,笼子,,,
cake,蛋糕,,,
call,打电话,,call on the phone: 打电话; call out: 召集; call up: 回忆起,
camera,照相机,,,
camp,露营，营地,,,
can,能，会,,,
candle,蜡烛,,,
candy,糖果,,,
capital,首都，省会,,,
car,汽车,,,
card,卡片，扑克牌,,,
care,关心，小心,,,
careful,小心的,,,
carry,携带,,,
cartoon,卡通,,,
case,箱子，案件,,,
cat,猫,,,
catch,抓住,,catch a cold: 感冒; catch up with: 赶上...; catch a bus: 赶公交车,
