english,chinese,symbol,phrase,similar
anywhere,任何地方,,,
appear,出现；似乎,,,
army,军队,,,
around,周围，四周，大约,,,
arrive,到达,,arrive at; arrive in,
art,艺术,,,
artist,艺术家,,,
as,当做，因为，一样的,,,
ask,问，要求,,ask for; ask the way; ask ... for help,
at,在,,at once: 立刻,
attend,参加，出席,,,
attention,注意,,pay attention to,
aunt,伯母，姑姑,,,
autumn,秋天，秋季,,,
away,离开,,"go away, get away",
baby,婴儿，宝贝,,,
back,后背，后面,,,
bad,坏的,,,
bag,袋子,,,
bake,烘焙，烤,,,
ball,球,,,
balloon,气球,,,
bamboo,竹子,,,
banana,香蕉,,,
bank,银行，岸,,,
bar,条，棒，酒吧,,,
baseball,棒球,,,
basket,篮子,,,
basketball,篮球,,,
bat,球拍，蝙蝠,,,
bath,洗澡，浴盆,,,
bathroom,浴室，卫生间,,,
be,是，在,,,
beach,海滩,,,
beautiful,美丽的,,,
